-able	 V. -ble.
-ismo	Del lat. -ismus, y este del gr. -ισμός -ismós. 1. suf. Forma sustantivos que suelen significar 'doctrina', 'sistema', 'escuela' o 'movimiento'. Socialismo, platonismo, impresionismo. 2. suf. Forma sustantivos que significan 'actitud', 'tendencia' o 'cualidad'. Egoísmo, individualismo, puritanismo. 3. suf. Forma sustantivos que designan actividades deportivas. Atletismo, alpinismo. 4. suf. Forma sustantivos que designan términos científicos. Tropismo, astigmatismo.
-ista	Del lat. -ista, suf. que designa oficio o profesión, y este del gr. -ιστής -istḗs. 1. suf. Forma adjetivos que habitualmente se sustantivan, y suelen significar 'partidario de' o 'inclinado a' lo que expresa la misma raíz con el sufijo -ismo. Comunista, europeísta, optimista. 2. suf. Forma sustantivos que designan generalmente a la persona que tiene determinada ocupación, profesión u oficio. Almacenista, periodista, taxista.
-ita^1	 Del lat. -īta o -ītes, y estos del gr. -ίτης -ítēs. 1. suf. Forma principalmente adjetivos gentilicios y otros que expresan pertenencia. Vietnamita, moscovita, jesuita, carmelita.
-ita^2	 Del fr. -ite. 1. suf. En mineralogía y en química, forma nombres de minerales. Magnetita, pirita. 2. suf. Forma nombres de sustancias explosivas. Dinamita. 3. suf. Se refiere también a alcoholes alifáticos polivalentes. Manita.
-ita^3	 V. -ito^3.
-itis	Del lat. cient. -itis, y este del gr. -ῖτις -îtis. 1. suf. Significa 'inflamación'. Otitis, hepatitis.
-itivo	va  V. -ivo.
-ito^1	 1. suf. Adoptado por convenio en la nomenclatura química, designa las sales de los ácidos cuyo nombre termina en -oso. Sulfito.
-ito^2	 1. suf. En mineralogía y en química, forma nombres de minerales. Grafito.
-ito^3	ta  Del lat. vulg. *-īttus. 1. suf. Tiene valor diminutivo o afectivo. Ramita, hermanito, pequeñito, callandito, prontito. En ciertos casos toma las formas -ecito, -ececito, -cito^ 2. Solecito, piececito, corazoncito, mujercita.
-itorio	ria  V. -torio.
-iva	 V. -ivo.
-ivo	va  Del lat. -īvus. 1. suf. Forma adjetivos y algunos sustantivos, cuya base derivativa suele ser un participio pasivo o un sustantivo latinos y, a veces, un sustantivo español. Puede significar capacidad para lo significado por la base o inclinación a ello. Llamativo, reflexivo, combativo, defensivo, persuasivo. 2. suf. Indica disposición para recibir lo significado por la base o situación de haberlo recibido. Consultivo, adoptivo. 3. suf. Entre los sustantivos, algunos indican cargos o profesiones. Ejecutivo, facultativo. 4. suf. Existen también algunos sustantivos en -iva. Alternativa, defensiva. Por analogía con los muchos adjetivos que, formados con el sufijo -ivo, terminan en -ativo o en -itivo, se han formado otros, considerando estas terminaciones como nuevos sufijos. Ahorrativo, factitivo.
-iza	 V. -izo.
-izar	Del lat. tardío -izāre, y este del gr. -ίζειν -ízein. 1. suf. Forma verbos que denotan una acción cuyo resultado implica el significado del sustantivo o del adjetivo básicos, bien por reducción del complemento directo a cierto estado, en los transitivos, como en carbonizar, esclavizar, impermeabilizar, bien por la actitud del sujeto, en los intransitivos, como en escrupulizar, simpatizar.
-izco	ca  V. -sco.
-izo	za  Del lat. -icius. 1. suf. Forma adjetivos derivados de adjetivos, que suelen denotar semejanza o propensión. Rojizo, enfermizo. 2. suf. Los derivados de sustantivos indican posesión de lo significado por el primitivo o de sus cualidades. Calizo, cobrizo, roblizo. 3. suf. Los derivados de participios indican propensión a ejecutar, causar o recibir la acción del verbo primitivo. Olvidadizo, resbaladizo, anegadizo. Los derivados de participios en -ido suelen cambiar la i en e. Movedizo, corredizo, acogedizo. 4. suf. A veces aparecen en sustantivos que suelen designar lugar. Cobertizo, pasadizo, caballeriza.
-landia	De la t. de Finlandia, Islandia, Jutlandia, etc., y esta del germ. -land 'país', 'tierra'. 1. elem. compos. Significa 'sitio de', 'lugar de', generalmente en nombres propios. Zumolandia, Fotolandia.
-latría	Del gr. -λατρεία -latreía. 1. elem. compos. Significa 'adoración'. Iconolatría.
-lisis	 V. ‒́lisis.
-logo	ga Del lat. -lŏgus, y este del gr. -λόγος -lógos. 1. elem. compos. Significa 'persona versada' o 'especialista' en lo que el primer elemento indica. Zoólogo, psicólogo.
-logía	Del gr. -λογία -logía. 1. elem. compos. Significa 'tratado', 'estudio', 'ciencia'. Mineralogía, lexicología.
-ma	Del gr. -μα -ma. 1. suf. Forma sustantivos emparentados frecuentemente con verbos griegos, que solían indicar el resultado de la acción significada por el verbo correspondiente. Drama, sofisma, eccema, enfisema. 2. suf. La lingüística moderna ha generalizado la forma -ema en sustantivos como lexema. 3. suf. En patología se utiliza la terminación -oma como nuevo sufijo, con el significado de 'tumor' o de otras alteraciones patológicas. Fibroma, papiloma, sifiloma.
-mancia	Tb. -mancía, p. us. Del lat. -mantīa o del gr. -μαντεία -manteía. 1. elem. compos. Significa 'adivinación', 'práctica de predecir'. Ornitomancia u ornitomancía, cartomancia o cartomancía.
-mano	na De la raíz del gr. μανία manía 'locura'. 1. elem. compos. Significa 'inclinado excesivamente'. Grafómano. 2. elem. compos. Significa 'que tiene obsesión o hábito patológicos'. Cleptómano, toxicómano. 3. elem. compos. Significa 'aficionado con pasión'. Melómano.
-manía	Del gr. -μανία -manía. 1. elem. compos. Significa 'inclinación excesiva'. Grafomanía. 2. elem. compos. Significa 'impulso obsesivo' o 'hábito patológico'. Piromanía, toxicomanía. 3. elem. compos. Significa 'afición apasionada'. Melomanía.
-menta	Del lat. -menta, pl. n. de -mentum. 1. suf. Forma sustantivos femeninos de valor colectivo, algunos procedentes del latín y otros creados en español. Impedimenta, vestimenta, osamenta, cornamenta.
-mente	Del lat. mente, abl. de mens, mentis 'inteligencia^1', 'propósito'. 1. elem. compos. Forma adverbios a partir de adjetivos. Fácilmente, pobremente.
-mento	Del lat. -mentum. 1. suf. Forma frecuentemente nombres concretos, que a veces significan 'acción y efecto'. Adopta también las formas -amento e -imento. Cargamento, pegamento. Pulimento.
-metro	Del gr. μέτρον métron. 1. elem. compos. Significa 'medida', generalmente relacionada con el metro (‖ unidad de longitud). Centímetro, kilómetro. 2. elem. compos. Significa 'aparato para medir'. Pluviómetro, termómetro.
-metría	Del gr. -μετρία -metría, de la raíz de μέτρον métron 'medida'. 1. elem. compos. Significa 'medida' o 'medición'. Econometría, cronometría.
-miento	Del lat. -mentum. 1. suf. En los sustantivos deverbales, suele significar 'acción y efecto'. Toma las formas -amiento e -imiento. Debilitamiento, levantamiento. Atrevimiento, florecimiento.
-nauta	Del fr. -naute, este del lat. nauta, y este del gr. ναύτης naútēs. 1. elem. compos. Significa 'navegante'. Astronauta, cibernauta.
-ncia	Del lat. -ntia. 1. suf. Forma sustantivos femeninos abstractos, de significado muy variado, determinado por la base derivativa. Toma las formas -ancia, cuando la base derivativa termina en -ante, y -encia, cuando termina en -ente o -iente. Extravagancia, importancia. Insistencia, dependencia.
-nomía	Del gr. -νομία -nomía, de la raíz de νόμος nómos 'ley, norma'. 1. elem. compos. Significa 'conjunto de leyes o normas'. Geonomía, biblioteconomía.
-nte	Del lat. -ns, -ntis, suf. de los part. de pres. act. 1. suf. Forma adjetivos deverbales, llamados tradicionalmente participios activos. Toma la forma -ante cuando el verbo base es de la primera conjugación, -ente o -iente, si es de la segunda o tercera. Significa 'que ejecuta la acción expresada por la base'. Agobiante, veraneante, absorbente, dirigente, dependiente, crujiente. Muchos de estos adjetivos suelen sustantivarse, y algunos se han lexicalizado como sustantivos y han generado, a veces, una forma femenina en -nta. Dirigente, dependiente, dependienta.
-oide	Del lat. -oīdes, y este del gr. -οειδής -oeidḗs u -οειδές -oeidés, de -ο- -o-, vocal de unión, y -ειδής -eidḗs o -ειδές -eidés 'semejante a', de la raíz de εἶδος eîdos 'forma'. 1. elem. compos. Significa 'parecido a', 'en forma de'. Metaloide. Androide. Adopta también las formas -oideo, -oides. Lipoideo, hialoideo. Cuboides, deltoides. 2. suf. Añade matiz despectivo en adjetivos derivados de otros adjetivos. Feminoide.
-oideo	 V. -oide.
-oides	 V. -oide.
-ol^1	De la t. de alcohol o fenol. 1. suf. Quím. En química orgánica, forma nombres de compuestos que contienen hidroxilo, especialmente alcoholes y fenoles. Colesterol, benzol.
-ol^2	Acort. del lat. oleum 'aceite'. 1. suf. Quím. Forma nombres de aceites. Ictiol, cuminol.
-oma	Del gr. -ωμα -ōma. V. -ma.
-or^1	Del lat. -or, -ōris. 1. suf. Forma sustantivos abstractos masculinos, en gran parte generados ya en latín. Amor, calor, rigor. Algunos se han formado en español, a partir de adjetivos o verbos. Dulzor, blancor, temblor.
-or^2	ra Del lat. -or, -ōris. 1. suf. En adjetivos y sustantivos deverbales, significa 'agente'. Aparece en palabras heredadas del latín. Censor, defensor, lector, cantor. Y en otras creadas en español. Revisor, reflector.
-orrio	rria  V. -rro.
-orro	rra  V. -rro.
-osa	 Del fr. -ose. 1. suf. Quím. Forma nombres de azúcares. Dextrosa, galactosa.
-osis	 V. -sis.
-oso^1	 1. suf. En la nomenclatura química, designa compuestos en los que el elemento principal actúa con la valencia mínima. Ácido sulfuroso.
-oso^2	sa  Del lat. -ōsus. 1. suf. Forma adjetivos derivados de sustantivos. Denota, en general, abundancia de lo significado por la base. Boscoso, garboso, rumboso. 2. suf. Aparece en adjetivos derivados de sustantivos o de verbos. Tiene significado activo. Afrentoso, resbaloso, tropezoso. 3. suf. Forma adjetivos derivados de adjetivos. Puede atenuar o intensificar el significado del primitivo. Gravoso, voluntarioso, amarilloso, verdoso.
-ote	ta 1. suf. U. para formar aumentativos y despectivos a partir de adjetivos y nombres. Bobote, grandote, angelote, marquesota.
-paro	ra Del lat. -părus, de la raíz de parĕre 'parir', 'producir'. 1. elem. compos. Significa 'que pare', 'que se reproduce', 'que produce'. Multípara, gemíparo, sudorípara.
-patía	Del lat. -pathīa, y este del gr. -πάθεια -pátheia, de la raíz παθ- path- 'sufrir', 'experimentar'. 1. elem. compos. Significa 'sentimiento', 'afección' o 'dolencia'. Homeopatía, telepatía.
-pedo	da Quizá del fr. -pède, y este del lat. -pĕdus. 1. elem. compos. Significa 'pie'. Cuadrúpedo, pinnípedo.
-plastia	Del gr. πλαστός plastós 'formado, modelado' y -ia. 1. elem. compos. Significa 'reconstrucción'. Rinoplastia, autoplastia.
-rragia	Del gr. -ρραγία -rragía, der. de ῥηγνύναι rēgnýnai 'romper', 'hacer brotar'. 1. elem. compos. Significa 'flujo', 'derramamiento'. Verborragia, blenorragia.
-rrea	Del lat. -rrhoea, y este del gr. -ρροια -rroia, der. de ῥεῖν reîn 'fluir'. 1. elem. compos. Significa 'flujo', 'acción de manar'. Verborrea, seborrea.
-rro	rra 1. suf. U. con valor diminutivo y despectivo. Toma las formas -arro, -orro y -orrio. Guijarro. Vidorra. Villorrio.
-sco	ca 1. suf. En adjetivos indica relación o pertenencia y a veces tiene matiz despectivo. Adopta también las formas -asco, -esco, -isco, -izco, -usco, -uzco. Bergamasco, burlesco, morisco, blanquizco, pardusco, negruzco. 2. suf. En los sustantivos, a veces tiene valor aumentativo. Borrasca, peñasco. 3. suf. En los sustantivos, a veces tiene valor colectivo. Rufianesca.
-scopia	Tb. -scopía. Del lat. cient. -scopia, y este del gr. -σκοπία -skopía 'inspección, examen visual', de la raíz de σκοπεῖν skopeîn 'observar'. 1. elem. compos. Significa 'examen, vista, exploración'. Microscopia o microscopía.
-scopio	Del lat. cient. -scopium, y este de la raíz del gr. σκοπεῖν skopeîn 'observar'. 1. elem. compos. Significa 'instrumento para ver o examinar'. Telescopio, oftalmoscopio.
-sis	Del gr. -σις -sis. 1. suf. En medicina principalmente, significa 'estado irregular' o 'enfermedad'. Suele ir precedido de e, a y, con mayor frecuencia, o. Psoriasis, pitiriasis, diuresis, estenosis, psitacosis, micosis, silicosis.
-stato	 Tb. ‒́stato. Del gr. στατός statós 'estable'. 1. elem. compos. Indica constancia, equilibrio o posición estable. Termostato o termóstato, presostato o presóstato, aerostato o aeróstato.
-strajo	 V. -ajo.
-stático	ca Del gr. στατικός statikós 'estabilizador', 'que detiene'. 1. elem. compos. Indica lo relacionado con el equilibrio de lo significado por el primer elemento. Electrostático, hidrostático. 2. elem. compos. Significa 'que detiene'. Hemostático, bacteriostático.
-tano	na  V. -ano^1.
-teca	Del gr. θήκη thḗkē 'caja'. 1. elem. compos. Significa 'lugar en que se guarda algo'. Discoteca, filmoteca.
-tecnia	Del lat. mod. -technia, y este del gr. -τεχνία -technía, de τέχνη téchnē 'arte' e -ία -ía '-ia'. 1. elem. compos. Significa 'técnica'. Mnemotecnia, pirotecnia.
-terapia	Del gr. θεραπεία therapeía. 1. elem. compos. Significa 'tratamiento'. Hidroterapia, inmunoterapia, quimioterapia.
-terma	 V. -termo.
-termia	Del gr. θέρμη thérmē 'calor' y -ia. 1. elem. compos. Significa 'calor, temperatura'. Distermia, hipotermia.
-termo	ma  Del gr. θερμός thermós. 1. elem. compos. Significa 'caliente'. Hematermo. 2. elem. compos. Significa 'con temperatura'. Isotermo.
-tico	ca Del lat. -tĭcus, y este del gr. -τικός -tikós. V. ‒́ico.
-tomo	ma Del gr. -τομος -tomos. 1. elem. compos. Significa 'que corta'. Microtomo, neurótomo. 2. elem. compos. Significa 'que se corta o divide'. Átomo, tricótomo.
-tomía	Del gr. -τομία -tomía, der. de τέμνειν témnein 'cortar'. 1. elem. compos. Significa 'corte', 'incisión'. Laringotomía, fitotomía.
-tor	ra 1. suf. En adjetivos y sustantivos, indica agente. Conductor, lector.
-toria	 V. -torio.
-torio	ria  Del lat. -torius. 1. suf. Forma adjetivos y sustantivos deverbales. Toma la forma -atorio si el verbo base es de la primera conjugación; -itorio, si es de la tercera. Los adjetivos denotan relación con la acción del verbo base. Dedicatorio, definitorio. 2. suf. Los sustantivos suelen significar lugar. Laboratorio, observatorio.
-triz	Del lat. -trix, -trīcis. 1. suf. Forma adjetivos o sustantivos, unos y otros femeninos, que significan agente. Motriz, directriz.
-trofia	Del gr. -τροφία -trophía. 1. elem. compos. Significa 'alimentación'. Distrofia, hipertrofia.
-trofo	fa Del gr. ‒́τροφος ‒́trophos. 1. elem. compos. Significa 'que se alimenta'. Autótrofo, heterótrofo.
-ucho	cha 1. suf. U. para formar despectivos a partir de adjetivos y nombres. Flacucho, periodicucho.
-uco	ca 1. suf. U. para formar diminutivos y despectivos a partir de adjetivos y nombres. Beatuco, casuca. U. m. en Cantb.
-udo	da Del lat. -ūtus. 1. suf. En adjetivos derivados de sustantivos, indica abundancia, gran tamaño, o bien intensidad de lo significado por la raíz. Barbudo, carrilludo, cachazudo.
-uelo	la Del lat. -ŏlus. 1. suf. Tiene valor diminutivo o despectivo. Arroyuelo, locuelo, bellacuelo. En algunas palabras no se conservan estos valores. Pañuelo. A veces toma las formas -ecezuelo, -ezuelo, -zuelo. Piecezuelo, pecezuelo, jovenzuelo, mujerzuela, escritorzuelo. Combinado con -acho, toma las formas -achuelo e -ichuelo. Riachuelo, barquichuelo, copichuela. Tras vocal toma la forma -huelo. Aldehuela, mantehuelo.
-ura	Del lat. -ūra. 1. suf. Forma sustantivos derivados de verbos, de participios pasivos o de adjetivos. Los derivados de verbos o de participios pasivos pueden significar cosas concretas. Montura, envoltura. 2. suf. Los derivados de adjetivos suelen denotar la cualidad relacionada con la palabra de la que derivan. Blancura, bravura, frescura.
